wfunctionwlinkwnamewnumber
0wAanvallerw/teams/feyenoord-1/selectie/nicolai-jorgensenwNicolai Jørgensenw9
1wAanvallerw/teams/feyenoord-1/selectie/sam-larssonwSam Larssonw11
2wAanvallerw/teams/feyenoord-1/selectie/luis-sinisterrawLuis Sinisterraw17
3wAanvallerw/teams/feyenoord-1/selectie/steven-berghuiswSteven Berghuisw19
4wAanvallerw/teams/feyenoord-1/selectie/mo-el-hankouriwMo El Hankouriw27
5wAanvallerw/teams/feyenoord-1/selectie/robin-van-persiewRobin van Persiew32
6wAanvallerw/teams/feyenoord-1/selectie/dylan-ventewDylan Ventew34
7wMiddenvelderw/teams/feyenoord-1/selectie/jordy-clasiewJordy Clasiew8
8wMiddenvelderw/teams/feyenoord-1/selectie/tonny-vilhenawTonny Vilhenaw10
9wMiddenvelderw/teams/feyenoord-1/selectie/yassin-ayoubwYassin Ayoubw18
10wMiddenvelderw/teams/feyenoord-1/selectie/renato-tapiawRenato Tapiaw20
11wMiddenvelderw/teams/feyenoord-1/selectie/orkun-kokcuwOrkun Kökcüw23
12wMiddenvelderw/teams/feyenoord-1/selectie/jens-toornstrawJens Toornstraw28
13wMiddenvelderw"/teams/feyenoord-1/selectie/wouter-burger"wWouter Burgerw35
14wVerdedigerw"/teams/feyenoord-1/selectie/bart-nieuwkoop"w"Bart Nieuwkoop"w2
15wVerdedigerw/teams/feyenoord-1/selectie/sven-van-beekwSven van Beekw3
16wVerdedigerw/teams/feyenoord-1/selectie/jeremiah-st-justewJeremiah St. Justew4
17wVerdedigerw/teams/feyenoord-1/selectie/ridgeciano-hapswRidgeciano Hapsw5
18wVerdedigerw/teams/feyenoord-1/selectie/jan-arie-van-der-heijdenwJan-Arie van der Heijdenw6
19wVerdedigerw/teams/feyenoord-1/selectie/tyrell-malaciawTyrell Malaciaw15
20wVerdedigerw/teams/feyenoord-1/selectie/calvin-verdonkwCalvin Verdonkw29
21wVerdedigerw/teams/feyenoord-1/selectie/eric-botteghinwEric Botteghinw33
22wVerdedigerw/teams/feyenoord-1/selectie/lutsharel-geertruidawLutsharel Geertruidaw38
23wKeeperw/teams/feyenoord-1/selectie/kenneth-vermeerwKenneth Vermeerw1
24wKeeperw/teams/feyenoord-1/selectie/joris-dellewJoris Dellew13
25wKeeperw"/teams/feyenoord-1/selectie/justin-bijlow"w"Justin Bijlow"w22
26wKeeperw/teams/feyenoord-1/selectie/ramon-ten-hovewRamón ten Hovew30
